Número control Encuesta;Zona/ Barrio del Estableciminto;Lugar realización encuesta;Departamento;Tipo: H o R;Nombre hot/rest;Tamaño;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuántos aportan al hog;Lugar nacimiento código;Otro país. Especificar;Año llegó Uruguay última vez;Nivel educ formal;Asiste ed formal;Nombre centro ed;Alguno de los estudios que;Especifique si es otro;Realizó cursos rel con cargo;Han sido pagados por;Especifique quien pagó;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Término del contrato;Especifique meses/u otro término;Contrato por empresa para la que hace tarea;Está en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio día libre;Horas que trabaja en la semana;Razón empleo es parcial;Especifique razón;Trabaja todos meses del año;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Sección o depto trabaja;Nombre secciòn o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Otro Especificar ;Realiza tareas diferentes puestos;Antigüedad AÑOS;Además del tiempo que lleva en esta;Años;Si no tiene experiencia..Ramo de donde proviene;Especificar ramo;Cuál es la Principal razón trabaja en rubro;Especifique razón estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuánto gana hora/día;Propina mes/temp alta;Propina mes/temp baja;No cobra propina;Estoy activamente buscando otras;El año que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intención de renunciar;Motivo principal por el que está buscando;Otro. Especificar;Me sentiría culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podría;Aunque fuera ventajoso;Esta empresa se merece;Sería muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminación ventilación;El entorno físico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formación;La forma en que se lleva a cabo la negociación;La supervisión que ejercen sobre mí;Estoy satisfecho de cómo mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participación;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;En resumen
244;MALDONADO;TRABAJO;2;2;ITHAKA;10;2;25;2;NULL;2;1;99; ;7;1;FACULTAD DE CIENCIAS UDELAR;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;3;99;3;NULL;1;25;3;99;1;99;NULL;2;NULL;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Cajero;3;1;2;99;2;AYUDANTE DE MOZO;3;99;NULL;2;NULL;NULL;NULL;99;3;3;1;2;5;99;5;3;3;3;4;4;2;4;4;5;4;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
245;MALDONADO;TRABAJO;2;2;ATELIER;15;2;27;1;1;1;1;99; ;3;2;99;6;ATENCION AL CLIENTE;1;3;99;4;1;2;VENDEDOR;1;1;99;1;1;1;99;3;NULL;2;36;5;99;1;99;NULL;2;NULL;NULL;#N/D;NULL ;NULL;EMPLEADO;1;1;1;8;99;NULL;4;PROPINA;NULL;6;NULL;NULL;NULL;99;2;NULL;NULL;NULL;NULL;99;5;1;3;1;3;3;3;1;3;3;3;1;1;1;1;1;1;1;1;0;1;99;1;99;1;1;1;0;1;1;1;1;0;1;1;0;1
246;MALDONADO;TRABAJO;2;2;ATELIER;15;2;22;2;1;0;2;ESPAÑA;2013;7;1;FACULTAD UNIVERSIDAD DE PALERMO;7;NULL;2;99;99;99;2;99;99;2;2;NULL;1;1;3;99;3;NULL;2;36;3;99;2;5;ESTUDIO;2;NULL;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;NULL;2;99;NULL;NULL;3;99;NULL;3;NULL;NULL;NULL;99;1;2;2;2;NULL;99;3;3;4;4;3;3;2;3;3;1;1;1;1;0;1;1;1;0;1;1;1;99;1;99;1;0;0;1;1;1;1;1;1;1;1;1;1
247;MALDONADO;TRABAJO;2;2;ATELIER;15;1;28;2;NULL;2;1;99; ;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL ;NULL;NULL;2;1;99;1;1;3;99;3;NULL;1;36;5;99;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.17.;Otro;Pizzero;5;NULL;1;NULL;99;NULL;NULL;NULL;NULL;3;NULL;NULL;NULL;99;1;NULL;NULL;NULL;NULL;99;3;3;4;2;2;5;3;2;1;5;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
248;PUNTA DEL ESTE ;TRABAJO;2;2;YAT;150;2;38;1;1;0;1;99; ;3;2;99;7;NULL;1;34;99;80;2;99;99;1;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Cajero;5;5;1;10;99;NULL;4;SE DIO ASI;NULL;7;NULL;NULL;NULL;99;3;3;NULL;NULL;1;99;2;3;2;2;2;4;3;4;3;2;4;1;1;1;0;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;1;1
249;PUNTA DEL ESTE ;TRABAJO;2;2;YAT;150;2;42;1;3;0;1;99; ;2;1;CECAS (ESCEULA DE ENFERMERIA);2;NULL;1;4;99;576;2;99;99;1;1;99;1;1;2;99;1;NULL;1;52;99;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;5;1;10;99;NULL;4;SE DIO ASI;NULL;2;NULL;NULL;NULL;99;4;3;4;3;7;99;1;1;1;1;5;1;1;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
250;PUNTA DEL ESTE ;TRABAJO;2;2;YAT;150;2;31;2;1;1;1;99; ;4;2;99;16;HOTELERIA EN UTU, GASTRONOMIA;1;3;99;200;2;99;99;2;1;99;1;1;1;99;1;NULL;1;44;99;99;1;99;NULL;2;1;20;Alimentos y bebidas/ Cocina;20.16.;Chef       ;;3;4;1;6;99;NULL;1;99;NULL;9;NULL;NULL;NULL;99;3;3;2;3;7;99;5;5;4;2;1;3;2;2;3;4;2;1;1;0;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;0;1
251;PUNTA DEL ESTE ;TRABAJO;2;2;GUAPPA;190;1;45;1;3;1;1;99; ;5;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;6;VA VARIANDO EN TODAS LAS MODALIDADES;2;44;99;99;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;11;1;5;99;NULL;4; CAI EN ESTO;NULL;7;NULL;30000;20000;NULL;1;1;1;1;NULL;99;5;5;3;5;5;5;5;5;5;2;5;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1
252;PUNTA DEL ESTE ;TRABAJO;2;2;GUAPPA;190;2;19;2;0;0;1;99;2011;4;1;Escuela de Alta Gastronomía Parador Pedro Figari;6;Escuela de Alta Gastronomía Parador Pedro Figari;2;99;99;99;2;99;99;2;3;3;1;1;1;99;1;NULL;1;44;99;99;2;5;TIENE EMPRESA DE COMIDA POR PEDIDOS PUNTUALES EN INVIERNO;2;2;20;Alimentos y bebidas/ Cocina;20.8.;Pastelero       ;;1;1;2;99;3;NULL;1;99;NULL;4;NULL;NULL;NULL;99;3;3;2;3;4;99;3;3;1;3;3;1;3;1;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
253;PUNTA DEL ESTE ;TRABAJO;2;2;PUAPPA;190;2;36;2;1;1;1;99; ;4;2;99;7;NULL;1;3;99;96;2;99;99;2;1;99;1;1;1;99;2;NULL;1;44;99;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Cajero;2;13;1;1;99;NULL;4;LO QUE  ENCOTRE;NULL;5;NULL;NULL;NULL;99;2;3;2;2;7;99;4;4;3;4;4;3;3;2;3;3;3;1;1;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1
254;PUNTA DEL ESTE ;TRABAJO;2;2;CARACOLES;47;2;30;1;2;1;1;99; ;3;2;99;7;NULL;1;3;99;24;2;99;99;1;1;99;1;1;1;99;1;NULL;1;44;99;99;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.2.;Ayudante de cocina     ;;5;2;1;9;99;NULL;4;SE DIO Y ME GUSTO;NULL;9;NULL;NULL;NULL;99;1;1;1;1;NULL;99;3;2;1;1;5;1;1;1;3;3;1;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;0;1;1;0;0;1;0;0
255;PUNTA DEL ESTE ;TRABAJO;2;2;CARACOLES;47;1;34;1;3;1;1;99; ;3;2;99;7;NULL;1;3;99;768;2;99;99;1;1;99;1;1;1;99;1;NULL;1;44;99;99;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.2.;Ayudante de cocina     ;;5;2;1;20;99;NULL;4;ME GUSTA;NULL;8;NULL;NULL;NULL;99;1;1;1;1;NULL;99;1;5;1;1;5;5;5;5;5;5;5;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
256;PUNTA DEL ESTE ;TRABAJO;2;2;CARACOLES;47;1;25;1;2;1;1;99; ;3;2;99;7;NULL;2;99;99;99;1;1;99;2;2;3;1;1;1;99;1;NULL;1;55;99;99;2;5;NO ES DE URURGUAY;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;4;2;99;2;INDUSTRIA FRIGRIFICA;4;OPORTUNIDAD LABORAL;NULL;7;NULL;1000;NULL;NULL;2;2;2;2;NULL;99;1;3;3;3;3;3;3;3;4;5;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
257;PUNTA DEL ESTE ;TRABAJO;2;2;CARACOLES;47;1;25;1;1;1;1;99; ;3;2;99;1;NULL;1;6;INTENCDENCIA;84;2;99;99;1;3;INDETERMINADO;1;1;1;99;1;NULL;1;91;99;99;2;1;99;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;5;2;99;1;NULL;1;99;NULL;7;NULL;90000;30000;NULL;3;3;3;3;8;99;3;2;3;3;3;3;3;3;3;3;3;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1
258;PUNTA DEL ESTE ;TRABAJO;2;2;TOMILLO Y CANELA;18;2;55;1;1;1;1;99; ;7;2;99;7;NULL;1;4;99;120;1;2;GASTRONOMIA-VENTAS;2;2;3;1;1;1;99;6;LUNES A VIERNES 9-17, FINDE CORTADO;1;44;99;99;2;1;99;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Cajero ;1;1;1;4;99;NULL;4;SURGIO;NULL;5;NULL;NULL;NULL;99;1;3;3;4;3;99;1;2;1;2;4;4;3;3;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
259;PUNTA DEL ESTE ;TRABAJO;2;2;TOMILLO Y CANELA;18;1;33;2;0;1;1;99; ;7;2;99;7;NULL;2;99;99;99;2;99;99;1;2;3;1;1;1;99;1;NULL;1;56;99;99;2;2;99;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;5;1;1;1;99;NULL;2;99;NULL;5;NULL;NULL;NULL;99;4;4;4;3;8;99;3;1;4;1;1;5;1;1;2;4;3;1;1;1;0;0;0;0;0;0;0;99;1;99;0;1;1;1;1;1;1;1;0;1;0;0;1
260;PUNTA BALLENA;TRABAJO;2;2;MEDIO Y MEDIO ;31;2;41;1;2;0;1;99; ;3;2;99;7;NULL;1;34;99;576;1;1;99;1;3;3;1;1;1;99;2;NULL;1;48;99;99;2;5;LA LLAMAN EN TEMPORADA, PERO TAMPOCO LO HARIA TODO EL AÑO ;2;1;20;Alimentos y bebidas/ Cocina;20.2.;Ayudante de cocina     ;;2;4;1;6;99;NULL;4;SIEMPRE  LE GUSTO, TENIA FACILIDAD.;NULL;8;NULL;6000;NULL;NULL;4;3;1;1;7;99;3;2;1;5;5;5;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;99;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1
261;PUNTA BALLENA;TRABAJO;2;2;MEDIO Y MEDIO;31;2;31;1;2;0;1;99;2014;3;1;CIRENAS (MASAJISTA);7;NULL;1;1;99;168;1;2;CUIDA CASAS Y ASEADORA;1;1;99;1;1;1;99;6;2 TURNOS 8 HORAS;1;112;99;99;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;5;8;1;5;99;NULL;4;GUSTO, GANA BIEN, LE GUSTA LA ATENCION AL PUBLICO Y SE SIENTE COMODA;NULL;5;NULL;20000;5000;NULL;1;3;1;1;10;AGREGAR TRABAJO PARA INVIERNO;5;5;5;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
262;PUNTA BALLENA;TRABAJO;2;2;MEDIO Y MEDIO ;31;1;33;1;0;0;2;ARGENTINA;1986;7;2;99;7;NULL;1;3;99;300;2;99;99;2;3;4;1;1;1;99;2;NULL;1;56;99;99;2;5;APROVECHA LA TEMPORADA LUEGO VIAJA;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Cajero;5;11;2;99;1;NULL;1;99;NULL;7;NULL;30000;NULL;NULL;1;1;1;1;NULL;99;1;1;3;1;5;5;4;2;5;5;5;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
263;PUNTA DEL ESTE ;TRABAJO;2;2;MOBYDICK;50;1;30;1;1;0;1;99; ;3;2;99;7;NULL;1;1;99;288;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;99;99;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.16.;Chef       ;;3;10;1;1;99;NULL;1;99;NULL;2;NULL;6000;1550;NULL;1;1;1;1;NULL;99;1;1;1;1;1;5;1;1;1;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1
264;PUNTA DEL ESTE ;TRABAJO;2;2;MOBYDICK;50;2;30;1;0;1;2;ARGENTINA;2019;8;2;99;7;NULL;2;99;99;99;2;99;99;2;2;3;1;1;1;99;2;NULL;1;48;99;99;2;1;99;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;1;3;99;NULL;1;99;NULL;4;NULL;20000;6000;NULL;4;3;3;2;5;99;3;1;1;1;1;3;3;1;3;4;3;1;1;1;1;1;1;1;1;1;1;99;0;99;1;0;0;0;1;0;1;1;0;1;1;1;1
265;PUNTA DEL ESTE ;TRABAJO;2;2;FLOREAL;20;1;31;1;1;1;1;99;2016;8;2;99;7;NULL;1;34;99;480;2;99;99;2;1;99;1;1;1;99;3;NULL;1;44;99;99;2;2;99;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.4.;Sommelier       ;;3;10;2;99;1;NULL;4;GUSTO Y PERMITE VIAJAR;NULL;6;NULL;45000;10000;NULL;3;3;3;1;5;99;2;2;5;3;1;1;3;3;1;1;3;1;1;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1
266;PUNTA DEL ESTE ;TRABAJO;2;2;FLOREAL;20;1;28;1;0;0;2;ARGENTINA;2019;8;1;UNIVERSIDAD NACIONAL DE LAS ARTES ARGENTINA;7;NULL;1;36;ESTATALES EN AREGENTINA;720;1;2;DOCENTE;2;3;3;1;1;3;99;3;NULL;2;56;99;99;2;5;TIENE EL VERANO LIBRE Y LE SIRVE LA TEMPORADA;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro;Comis de mozo;4;1;2;99;2;DOCENTE TEATRO/MUSICA Y VOLUNTARIO EN HOSTEL;4;PARA VIAJAR Y AHORRAR.GUSTO POR EL RESTAURANTE;NULL;NULL;NULL;30000;NULL;NULL;1;2;1;1;NULL;99;2;1;3;1;2;3;4;3;4;2;3;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
267;PUNTA DEL ESTE ;TRABAJO;2;2;FLOREAL;20;1;42;1;0;0;2;ARGENTINA;2019;4;2;99;7;NULL;1;3;99;100;2;99;99;2;3;3;1;1;1;99;3;NULL;1;54;99;99;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.10.;Demi Chef      ;;5;6;1;10;99;NULL;4;GUSTO;NULL;7;NULL;NULL;NULL;99;1;1;1;1;NULL;99;1;3;1;3;3;5;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;99;1;99;1;1;1;1;1;1;1;1;1;1;1;1;1
268;LA BARRA;TRABAJO;2;2;LA PANA;18;1;30;1;6;1;1;99; ;3;2;99;7;NULL;2;99;99;99;2;99;99;2;4;NULL;1;1;1;99;2;NULL;1;48;99;99;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.5.;Cocinero       ;;5;1;1;2;99;NULL;3;99;NULL;6;NULL;31000;NULL;NULL;3;NULL;NULL;NULL;5;99;3;5;4;4;4;4;2;4;3;2;3;1;NULL;NULL;0;0;0;0;NULL;NULL;0;99;;0;1;1;;1;0;0;1;1;1;0;1;0;0
269;MALDONADO;TRABAJO;2;2;TABERNA PAXI;14;2;60;1;0;0;1;99;1988;4;2;99;7;NULL;1;3;99;4;2;99;99;1;1;99;1;1;1;99;1;NULL;1;48;99;99;1;99;NULL;1;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.5.;Maitre (Supervisor)      ;;1;20;1;11;99;NULL;1;99;NULL;NULL;NULL;NULL;NULL;99;1;1;1;1;NULL;99;3;3;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
270;MALDONADO;TRABAJO;2;2;TABERNA PAXI ;14;2;51;2;1;2;1;99; ;4;2;99;1;NULL;1;3;99;72;2;99;99;2;1;99;1;1;1;99;1;NULL;1;40;5;NULL;1;99;NULL;2;NULL;20;Alimentos y bebidas/ Cocina;20.5.;Cocinero       ;;1;8;1;30;99;NULL;1;99;NULL;7;NULL;NULL;NULL;99;1;1;1;1;NULL;99;3;1;1;1;NULL;1;3;3;3;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
271;MALDONADO;TRABAJO;2;2;CLASSIC;350;1;42;1;3;1;1;99;2012;4;2;99;7;NULL;1;1;99;24;2;99;99;1;1;99;1;1;1;99;6;CORTADO EN TEMPORADA Y EN INVIERNO DIURNO;1;44;99;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;8;1;4;99;NULL;4;NUNCA PENSO, ESTUDIO OTRA COSA. LA VIDA LA TRAJO Y SE SIENTE COMODA Y LE GUSTA;NULL;7;NULL;2000;1000;NULL;1;1;1;1;NULL;99;1;4;1;2;1;3;3;3;4;4;3;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
272;MALDONADO;TRABAJO;2;2;CLASSIC;350;1;49;1;1;1;1;99;2008;5;2;99;7;NULL;1;23;99;288;2;99;99;2;1;99;1;1;1;99;1;NULL;1;44;99;99;1;99;NULL;2;1;20;Alimentos y bebidas/ Cocina;20.18;Jefe de cocina     ;;5;2;1;25;99;NULL;4;AMA LO QUE HACE;NULL;6;NULL;NULL;NULL;99;1;1;1;1;NULL;99;3;5;2;1;5;5;4;2;5;1;2;1;1;1;1;1;1;1;1;1;1;99;1;1;1;1;1;1;1;1;1;1;NULL;1;1;1;1
273;MALDONADO;TRABAJO;2;2;CAFÉ FLORDA;29;1;33;1;0;0;1;99; ;3;2;99;1;NULL;1;3;99;420;2;99;99;2;1;99;1;1;1;99;3;NULL;1;49;99;99;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;4;2;1;10;99;NULL;4;ME GUSTA;NULL;4;NULL;17050;14300;NULL;3;3;2;2;2;99;2;2;1;2;1;1;1;4;1;3;2;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
274;MALDONADO;TRABAJO;2;2;CON HISTORIA;50;1;23;1;3;1;1;99; ;4;2;99;7;NULL;1;2;99;72;2;99;99;2;1;99;1;1;1;99;1;NULL;1;70;99;99;1;99;NULL;2;NULL;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Cajero;1;1;1;2;99;NULL;2;99;NULL;7;NULL;NULL;NULL;99;1;NULL;NULL;NULL;NULL;99;NULL;NULL;NULL;NULL;NULL;5;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1
275;MALDONADO;TRABAJO;2;2;CAFÉ FLORIDA;29;1;44;1;1;0;1;99; ;3;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;3;NULL;1;45;99;99;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.2.;Ayudante de cocina     ;;2;1;1;15;99;NULL;4;ME GUSTA;NULL;6;NULL;5000;3000;NULL;4;4;1;1;5;99;2;4;2;3;1;5;1;5;5;5;5;1;1;1;0;1;0;1;0;0;0;99;1;99;1;1;1;0;1;1;0;1;0;0;1;1;1
276;MALDONADO;TRABAJO;2;2;CON HISTORIA ;50;1;23;2;0;1;1;99; ;3;2;99;7;NULL;1;6;MOZO, SALA, BAR.;3;2;99;99;2;1;99;1;1;1;99;1;NULL;1;44;99;99;1;99;NULL;2;2;19;Alimentos y bebidas/Bar;19.1.;Ayudante de bar     ;;1;1;1;4;99;NULL;3;99;NULL;4;NULL;NULL;NULL;99;2;NULL;NULL;NULL;NULL;99;5;3;3;1;3;4;4;3;3;4;3;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
277;MALDONADO;TRABAJO;2;2;CON HISTORIA;50;2;25;1;1;0;1;99; ;4;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;2;56;99;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;5;1;2;99;2;VENTAS;1;99;NULL;4;NULL;31000;15500;NULL;1;NULL;NULL;NULL;NULL;99;1;4;3;1;5;3;3;3;1;5;3;1;1;1;1;1;1;1;1;0;1;99;1;99;1;1;1;1;1;1;1;1;0;0;1;1;1
278;PUNTA DEL ESTE ;TRABAJO;2;1;AJAX;68;1;60;1;3;2;1;99; ;4;2;99;7;NULL;1;2;99;10;2;99;99;1;7;NULL;1;1;1;99;6;HACE EL HORARIO QUE DESEA;1;40;5;NULL;1;99;NULL;2;1;5;Gerencia general - apoyo;5.2;Gerente general      ;;1;27;1;10;99;NULL;4;LA VIDA LO LLEVO, MUY PEQUEÑO SALIO A TRABAJAR Y SE VINCULO AL RUBRO.;NULL;9;NULL;NULL;NULL;99;1;1;1;5;10;JUVILARSE;1;5;1;5;1;5;1;4;5;5;4;1;1;1;1;1;1;1;1;0;1;99;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
279;PUNTA DEL ESTE ;TRABAJO;2;1;AJAX;68;2;32;1;1;1;1;99; ;7;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;99;99;1;99;NULL;2;2;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;3;1;8;99;NULL;4;ENTRO DE CASUALIDAD Y LE GUSTO;NULL;7;NULL;3000;1000;NULL;1;1;1;1;NULL;99;1;1;1;1;1;3;3;1;3;3;3;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
280;PUNTA DEL ESTE ;TRABAJO;2;1;AJAX;68;1;24;1;1;1;2;VENEZUELA;2018;8;2;99;7;NULL;1;2;99;48;2;99;99;2;1;99;1;1;1;99;4;NULL;2;48;99;99;1;99;NULL;2;2;4;Animación y recreación;4.1.;Animador/Recreadora       ;;1;1;1;5;99;NULL;1;99;NULL;7;NULL;2000;700;NULL;4;3;1;1;1;99;1;4;3;2;4;5;1;4;5;4;5;1;1;1;1;1;1;1;1;0;1;99;1;99;1;1;1;1;1;1;1;1;1;1;1;1;1
281;PUNTA DEL ESTE ;TRABAJO;2;1;CAMELOT;37;1;46;1;3;0;1;99; ;3;2;99;1;NULL;2;99;99;99;2;99;99;1;1;99;1;1;1;99;4;NULL;1;44;99;99;1;99;NULL;2;1;12;Habitaciones Recepción;12.2.;Recepcionista       ;;1;10;2;99;1;NULL;1;99;NULL;NULL;NULL;NULL;NULL;99;1;1;1;1;NULL;99;1;1;1;1;1;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NULL
282;PUNTA DEL ESTE ;TRABAJO;2;1;JAMAICA;33;1;44;1;3;2;1;99; ;3;2;99;6;CURSO TURISMO CORTO INDEPENDIENTE;2;99;99;99;2;99;99;1;NULL;NULL;1;1;1;99;1;NULL;2;44;99;99;1;99;NULL;2;1;7;Gestión humana - apoyo ;7.5.;Otro;Encargado ;3;28;2;99;3;NULL;4;VINO POR UN TIEMPO Y SE QUEDO, DE DIO ASI;NULL;7;NULL;NULL;NULL;99;1;1;1;1;NULL;99;1;5;1;5;1;5;5;5;5;5;5;NULL;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
283;PUNTA DEL ESTE ;TRABAJO;2;1;JAMAICA;33;2;47;1;1;0;1;99; ;2;2;99;7;NULL;2;99;99;99;1;2;AYUDANTE DE COCINA EN CASA DE FAMILIA BRASILERA;1;7;NULL;1;2;99;NULL;2;NULL;2;56;99;99;2;2;99;2;2;17;Habitaciones Ama de llaves;17.2.;Mucama       ;;4;8;1;13;99;NULL;4;YA SE ACOSTUMBRO;NULL;6;NULL;NULL;NULL;99;4;3;4;2;10;TENER TRABAJO FIJO TODO EL AÑ0;1;1;1;1;1;1;1;1;1;2;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1
284;PUNTA DEL ESTE ;TRABAJO;2;1;JEAN CLEVERS;50;2;49;2;2;1;1;99; ;8;2;99;6;ITHU;1;3;99;48;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;99;99;1;99;NULL;2;1;7;Gestión humana - apoyo ;7.4.;Jefe de Gestión Humana    ;;1;18;1;4;99;NULL;1;99;NULL;8;NULL;NULL;NULL;99;1;1;1;1;NULL;99;1;2;1;2;2;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
