Número control Encuesta;Zona/ Barrio del Estableciminto;Lugar realización encuesta;Departamento;Tipo: H o R;Nombre hot/rest;Tamaño;Sexo;Edad;Es jefe de hogar;Personas que dependen;Cuántos aportan al hog;Lugar nacimiento código;Otro país. Especificar;Año llegó Uruguay última vez;Nivel educ formal;Asiste ed formal;Nombre centro ed;Alguno de los estudios que;Especifique si es otro;Realizó cursos rel con cargo;Han sido pagados por;Especifique quien pagó;Total horas de cursos;Tiene otro trabajo;Sector del otro trab;Especifique sin no es turismo;Tipo contrato;Término del contrato;Especifique meses/u otro término;Contrato por empresa para la que hace tarea;Está en caja;Aporta por 100% salario;Si no en caja: goza benef;Tipo horario;Especifique tipo horario;Criterio día libre;Horas que trabaja en la semana;Razón empleo es parcial;Especifique razón;Trabaja todos meses del año;Cual es el motivo prinicpal por el que no trabaja todos los;Otro motivo. Especificar;En este empleo pertenece a un sindicato;Conoce usted los beneficios de la neg colect;Codigo Sección o depto trabaja;Nombre secciòn o depto donde trabaja;Codigo puesto/cargo de contrato;Nombre puesto/cargo de contrato;Otro Especificar ;Realiza tareas diferentes puestos;Antigüedad AÑOS;Además del tiempo que lleva en esta;Años;Si no tiene experiencia..Ramo de donde proviene;Especificar ramo;Cuál es la Principal razón trabaja en rubro;Especifique razón estar en rubro;Salario mensual sin propina;Rango sal mens sin propina;Cuánto gana hora/día;Propina mes/temp alta;Propina mes/temp baja;No cobra propina;Estoy activamente buscando otras;El año que viene voy a  buscar otro trabajo;Voy a cambiar de trabajo a primera oportunidad;Tengo la intención de renunciar;Motivo principal por el que está buscando;Otro. Especificar;Me sentiría culpable;Siento una responsabilidad;Si tuviera una oferta;Creo que no podría;Aunque fuera ventajoso;Esta empresa se merece;Sería muy feliz si;Realmente siento los;Esta empresa significa;En esta empresa me;Siento amor por mi empresa;Me gusta la tarea que ;Estoy satisfecho con las posibilidades;Estoy satisfecho con mi trabajo;Mi salario me satisface;Estoy satisfecho con cantidad de horas;Limpieza, iluminación ventilación;El entorno físico y el espacio;Los medios materiales que tengo;En mi empresa tengo satisfactorias oportunidades;Estoy satisfecho con la formación;La forma en que se lleva a cabo la negociación;La supervisión que ejercen sobre mí;Estoy satisfecho de cómo mi empresa cumple el convenio;Estoy satisfecho con la estabilidad;Estoy satisfecho con el grado de participación;Me gusta la forma en que mis superiores juzgan;Me satisface mi capacidad actual;Mi empresa me trata con buena jusicia;Estoy contento con el apoyo;Me satisface mi actual grado;Estoy satisfecho con las relaciones;Estoy satisfecho con los incentivos;Estoy contento con el nivel;Estoy satisfecho con mi jornada;Estoy satisfecho con las normas de seguridad;En resumen
21;CIUDAD VIEJA;TRABAJO;1;2;Toledo Bar de Tapas;7;1;28;1;2;1;1;99;99;1;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;NULL;NULL;1;99;NULL;2;2;20;Alimentos y bebidas/ Cocina;20.1.;Lavandín       ;;5;1;1;1;99;NULL;1;99;13000;11;NULL;NULL;10500;NULL;1;2;2;1;1;99;3;3;2;2;1;5;3;3;3;4;3;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
22;CIUDAD VIEJA;TRABAJO;1;2;La Corte;65;2;22;2;0;1;1;99;2015;4;2;99;6;LICEO TURISMO ;2;99;99;99;2;99;99;2;1;99;1;1;3;99;2;NULL;1;42;4;fue la unica opcion presentada;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;1;2;99;NULL;2;99;NULL;2;NULL;19200;19200;NULL;4;4;2;1;9;99;3;1;1;1;1;3;1;1;1;3;2;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
23;CIUDAD VIEJA;TRABAJO;1;2;El Palenque;60;1;45;1;2;1;2;Estados Unidos;1989;9;2;99;2;NULL;1;3;99;200;2;99;99;2;1;99;1;1;1;99;2;NULL;1;50;NULL;NULL;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;5;30;1;2;99;NULL;4;Dinero;17794;3;300;50000;50000;NULL;1;1;1;1;1;99;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;0;0;1;0;0
24;PUNTA CARRETAS ;TRABAJO;1;2;La Estacada;50;2;28;2;0;1;1;99;99;4;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;5;NULL;1;44;NULL;NULL;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;1;2;99;NULL;3;99;19000;4;NULL;26000;NULL;NULL;1;1;1;1;1;99;2;1;1;1;3;2;1;3;2;3;2;1;1;1;0;1;1;1;1;1;1;NULL;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
25;CIUDAD VIEJA;TRABAJO;1;2;El Palenque;60;1;33;2;2;1;1;99;99;3;2;99;1;NULL;1;3;99;71;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;NULL;NULL;1;99;NULL;1;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;13;2;99;NULL;NULL;1;99;23000;5;NULL;24000;12000;NULL;3;1;3;3;8;99;1;1;2;1;5;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0
26;EMPRESA EVENTOS ;INSTITUTO CAPACITACIÓN ;1;2;Lirium Eventos;NULL;1;36;1;2;0;1;99;99;3;1;Aula Uruguay;7;NULL;2;99;99;99;2;99;99;1;1;99;1;1;1;99;3;NULL;2;0;2;99;1;99;NULL;2;1;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;5;6;1;2;99;NULL;3;99;NULL;11;NULL;NULL;NULL;99;4;4;4;1;7;99;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1
27;POCITOS;TRABAJO;1;2;"Parrilla ""La Otra""";40;1;29;2;0;6;2;Brasil;2017;7;2;99;4;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;3;NULL;1;NULL;NULL;NULL;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;5;2;1;5;99;NULL;1;99;15000;2;NULL;199;NULL;NULL;1;1;1;1;1;99;4;5;4;1;4;5;3;1;5;5;4;1;1;1;0;1;1;1;1;0;1;;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
28;PUNTA CARRETAS;TRABAJO;1;2;CraftMvd;20;2;21;2;0;4;1;99;99;6;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;30;1;99;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.2.;Mozo       ;;1;1;1;1;99;NULL;1;99;NULL;3;NULL;NULL;2000;NULL;1;3;1;1;1;99;4;4;1;1;3;1;1;3;3;3;3;1;1;1;0;1;1;1;1;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
29;CIUDAD VIEJA;TRABAJO;1;2;Estrecho;5;1;39;1;0;1;1;99;2009;3;2;99;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;6;NULL;1;50;NULL;NULL;1;99;NULL;2;2;5;Gerencia general - apoyo;5.1.;Secretaría de Gerencia general    ;;4;15;1;2;99;NULL;2;99;NULL;11;NULL;NULL;NULL;99;1;1;1;1;1;99;5;5;5;3;5;4;5;5;5;5;5;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
30;CIUDAD VIEJA;TRABAJO;1;2;La Petite Cuisine;9;2;21;2;0;2;2;Venezuela;2016;7;1;UdelaR Facultad de NutriciÃ_n;7;NULL;2;99;99;99;2;99;99;2;1;99;1;1;1;99;2;NULL;1;48;NULL;NULL;1;99;NULL;2;2;22;Alimentos y bebidas/ Sala-Restaurantes;22.8.;Otro       ;Secretaria Gerente ;4;1;2;99;NULL;NULL;2;99;NULL;2;NULL;99;99;NULL;2;3;3;2;NULL;99;3;2;2;2;2;2;1;3;1;2;2;0;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1
